make,model,injury_severity,aircraft_damage,aircraft_category,number_of_engines,publication_date,engine_type,purpose_of_flight,weather_condition,total_fatal_injuries,total_serious_injuries,total_minor_injuries,registration_number,investigation_type
PIPER,PA32-301FT,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N1053F,Accident
Cessna,150J,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N51367,Accident
Cessna,177,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N2905X,Accident
GRUMMAN,G-21A,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,2.0,N21A,Accident
Piper,J3-C65,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Banner Tow,VMC,0.0,2.0,0.0,N2143M,Accident
Airborne,Redback,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,1.0,N1847,Accident
Cessna,210G,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N5825F,Accident
AirIndus,Thorpedo T211,Non-Fatal,Substantial,Airplane,1.0,25-09-2020,Reciprocating,Personal,VMC,0.0,0.0,0.0,N211US,Accident
Beech,C90-1,Non-Fatal,Substantial,Airplane,2.0,25-09-2020,Turbo Prop,Personal,IMC,0.0,0.0,0.0,N901JB,Accident
RAYTHEON AIRCRAFT COMPANY,C90A,Fatal,Substantial,Airplane,2.0,25-09-2020,Turbo Prop,Personal,IMC,6.0,0.0,0.0,N57WR,Accident
CESSNA,525,Fatal,Destroyed,Airplane,2.0,25-09-2020,Turbo Fan,Personal,IMC,2.0,0.0,0.0,N102PT,Accident
